Full Risk Screen,-,⚡ 限 3/mo,"⚡ 限 50/mo
 或 600/yr","⚡ 限 250/mo
 或 3000/yr","⚡ 限 750/mo
 或 9000/yr",On Demand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进阶分析,Alerts,-,✅,✅,✅,✅,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analytics,-,-,✅,✅,✅,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customers,-,-,1,10,30,Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labels,-,3,50,200,1000,Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tags,-,3,50,200,1000,Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合规需求,Custom Risk Engines,-,-,3,10,20,Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STR/SAR Report,-,-,-,✅,✅,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ongoing Monitoring,-,-,-,20,100,On Demand,,* 如果要做成 Monitoring，应该对 Enterprise Plan 用户也限制数量。参考 Beosin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blacklist / Whitelist,-,-,-,50,200,Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
